Model,Best Parameters,ROC AUC,Confusion Matrix,Precision (Class 0),Recall (Class 0),F1-Score (Class 0),Precision (Class 1),Recall (Class 1),F1-Score (Class 1)
LogisticRegression,"{'C': 10.0, 'solver': 'lbfgs'}",0.9411395917481827,"[[8703, 1356], [1316, 8743]]",0.8686495658249326,0.8651953474500448,0.8669190158382309,0.8657292801267452,0.8691718858733473,0.867447167377716
RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9867608577332894,"[[9667, 392], [647, 9412]]",0.9372697304634477,0.9610299234516354,0.9490011289451725,0.960016319869441,0.9356794910030818,0.9476916880632331
GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.9899408185017868,"[[9831, 228], [554, 9505]]",0.9466538276360135,0.9773337309871757,0.9617491684601839,0.9765745402239803,0.9449249428372601,0.9604890864995957
KNeighborsClassifier,"{'n_neighbors': 7, 'weights': 'distance'}",0.9646022753457159,"[[8853, 1206], [674, 9385]]",0.9292537000104965,0.8801073665374292,0.9040130705606045,0.8861297327919933,0.9329953275673526,0.908958837772397
XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.988344209071044,"[[9799, 260], [614, 9445]]",0.9410352444060309,0.9741525002485336,0.9573075420085971,0.9732096857290057,0.9389601352023064,0.9557781825541388
LGBMClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.9895144840885639,"[[9812, 247], [556, 9503]]",0.9463734567901234,0.975444875236107,0.9606892837910609,0.9746666666666667,0.944726115916095,0.9594628704124388
CatBoostClassifier,"{'depth': 5, 'iterations': 200, 'learning_rate': 0.1}",0.9875165196184543,"[[9855, 204], [615, 9444]]",0.9412607449856734,0.9797196540411571,0.9601052170100833,0.9788557213930348,0.9388607217417239,0.9584411630385142
