iter	Logloss
0	0.4641364397
1	0.3647671825
2	0.304333503
3	0.2659350169
4	0.2435694439
5	0.2294441882
6	0.212417598
7	0.2059426019
8	0.2003645994
9	0.1961338195
10	0.1870769434
11	0.1778393865
12	0.1754399666
13	0.1712837411
14	0.1651728219
15	0.1613452366
16	0.1582390965
17	0.1549171324
18	0.1494199999
19	0.1451646362
20	0.1435719758
21	0.1417747403
22	0.1402942642
23	0.1383695567
24	0.1373864548
25	0.1364411934
26	0.1346238099
27	0.1334554628
28	0.132603918
29	0.1307801759
30	0.1302251152
31	0.1287029789
32	0.127361431
33	0.1250546016
34	0.1240462968
35	0.1231398957
36	0.1224984048
37	0.1211252648
38	0.1201840438
39	0.1196955702
40	0.1188239969
41	0.1181186473
42	0.1173197305
43	0.1167833337
44	0.1157752274
45	0.1153550533
46	0.1148338904
47	0.1143082878
48	0.1137392962
49	0.1133169707
50	0.1119182093
51	0.1111636157
52	0.1106763495
53	0.1102285863
54	0.1094144693
55	0.1088964014
56	0.1082470903
57	0.1075067755
58	0.1067308559
59	0.1063003302
60	0.1055848165
61	0.1051338515
62	0.1043972921
63	0.1038089986
64	0.1031207463
65	0.1025449768
66	0.1018411439
67	0.1012313634
68	0.1007303478
69	0.1001573561
70	0.0997474188
71	0.09913116644
72	0.09864035398
73	0.09763439806
74	0.09729222636
75	0.09696106209
76	0.09633980141
77	0.09559494652
78	0.09512229656
79	0.09486205532
80	0.09444306557
81	0.09409579932
82	0.09358370586
83	0.09320306248
84	0.09286065051
85	0.09241511464
86	0.09212238955
87	0.09166988594
88	0.09144470136
89	0.09076884099
90	0.09050413161
91	0.09026431831
92	0.09006994257
93	0.08979208294
94	0.08954474406
95	0.08907759934
96	0.08861434708
97	0.08827278803
98	0.08795712055
99	0.08780884784
100	0.08719534134
101	0.08694132886
102	0.08677725034
103	0.08647113737
104	0.08623858352
105	0.08586475338
106	0.08564110502
107	0.08522481288
108	0.084833387
109	0.08460896616
110	0.08426498217
111	0.08393889061
112	0.08354289836
113	0.08333552785
114	0.08313721925
115	0.08273847868
116	0.0824663669
117	0.08215860912
118	0.08172953141
119	0.08133640819
120	0.08116581163
121	0.08089403088
122	0.08064013147
123	0.08056302846
124	0.08027583845
125	0.07996136934
126	0.07978112444
127	0.07927764017
128	0.0790547563
129	0.0787691357
130	0.07855314015
131	0.07820375845
132	0.07795409201
133	0.07781474136
134	0.0774710833
135	0.07724059028
136	0.0770550597
137	0.07683984333
138	0.07666835504
139	0.07639161723
140	0.07603913193
141	0.07576561673
142	0.075500411
143	0.07538978316
144	0.07502411013
145	0.07494030479
146	0.07472922528
147	0.07463718901
148	0.07444556985
149	0.07416183437
150	0.0739017273
151	0.07357331019
152	0.07332680703
153	0.07317444099
154	0.07296324444
155	0.07273265925
156	0.07238511657
157	0.07214357991
158	0.0719010141
159	0.07149356932
160	0.07126996882
161	0.07118440786
162	0.07096311099
163	0.07087650721
164	0.07060920063
165	0.07041165695
166	0.07019920645
167	0.06995778348
168	0.06976056889
169	0.06949560361
170	0.06919548325
171	0.0689607979
172	0.06883631099
173	0.06857729661
174	0.06835257857
175	0.06821545157
176	0.06814563668
177	0.06796745465
178	0.06776050633
179	0.06752094265
180	0.06732202517
181	0.06716771307
182	0.06698085643
183	0.06674197631
184	0.06668351488
185	0.06640866959
186	0.06610603964
187	0.06596613417
188	0.06587954033
189	0.06566598887
190	0.06564831514
191	0.06532132183
192	0.06523906469
193	0.06485780604
194	0.06465798094
195	0.06451724243
196	0.06439312371
197	0.06427287027
198	0.06421120631
199	0.06402713375
200	0.06385944291
201	0.06368144098
202	0.06350853667
203	0.0633111514
204	0.06307207965
205	0.06288608549
206	0.06261926693
207	0.06242535827
208	0.06227084804
209	0.06217066691
210	0.06198218393
211	0.06180488355
212	0.06145132423
213	0.06122857215
214	0.06102615371
215	0.06090907959
216	0.0607679638
217	0.06067265818
218	0.06047456593
219	0.06030213492
220	0.06019805651
221	0.06002330126
222	0.05981055533
223	0.05953246239
224	0.05938937367
225	0.0591708494
226	0.05898883597
227	0.05878651341
228	0.05863057365
229	0.05843414635
230	0.05830710682
231	0.05816291441
232	0.05798149671
233	0.05788789778
234	0.0578716415
235	0.05764683879
236	0.05748868499
237	0.05737918521
238	0.05727678863
239	0.05707479251
240	0.05698346646
241	0.05681714146
242	0.05663297928
243	0.05644473993
244	0.05628517249
245	0.05615406787
246	0.05599246831
247	0.05588848052
248	0.05574345263
249	0.0555970508
250	0.05531698343
251	0.05514685211
252	0.05505827902
253	0.05494450597
254	0.05474002401
255	0.05453222866
256	0.0544060639
257	0.05429895956
258	0.05415435567
